"X_coord","Y_COORD","HABITAT"
293000,5169260,1
293000,5170260,1
293000,5171260,1
293000,5172260,1
293000,5173260,0
293000,5174260,0
293000,5175260,1
293000,5176260,0
293000,5177260,1
293000,5178260,1
293000,5179260,1
293000,5180260,0
293000,5181260,0
293000,5182260,0
293000,5183260,0
293000,5184260,0
293000,5185260,1
293000,5186260,1
293000,5187260,1
293000,5188260,1
293000,5189260,1
293000,5190260,1
293000,5191260,1
293000,5192260,1
293000,5193260,1
293000,5194260,1
293000,5195260,1
293000,5196260,1
293000,5197260,1
293000,5198260,0
293000,5199260,1
293000,5200260,1
293000,5201260,0
293000,5202260,1
293000,5203260,1
293000,5204260,1
293000,5205260,1
293000,5206260,1
293000,5207260,0
293000,5208260,1
293000,5209260,1
293000,5210260,1
293000,5211260,1
293000,5212260,0
293000,5213260,1
293000,5214260,0
293000,5215260,1
293000,5216260,1
293000,5217260,1
293000,5218260,0
293000,5219260,1
293000,5220260,0
293000,5221260,0
293000,5222260,1
293000,5223260,0
293000,5224260,1
293000,5225260,0
293000,5226260,1
293000,5227260,1
293000,5228260,1
293000,5229260,1
293000,5230260,1
293000,5231260,1
293000,5232260,1
293000,5233260,0
293000,5234260,0
293000,5235260,1
293000,5236260,0
293000,5237260,1
293000,5238260,1
293000,5239260,0
293000,5240260,1
293000,5241260,1
293000,5242260,1
293000,5243260,1
293000,5244260,1
293000,5245260,1
293000,5246260,1
293000,5247260,0
293000,5248260,1
293000,5249260,1
293000,5250260,0
293000,5251260,1
293000,5252260,1
293000,5253260,1
293000,5254260,1
293000,5255260,1
293000,5256260,1
293000,5257260,1
293000,5258260,0
293000,5259260,1
293000,5260260,1
293000,5261260,1
293000,5262260,1
293000,5263260,1
293000,5264260,1
293000,5265260,1
293000,5266260,1
293000,5267260,1
294000,5163260,1
294000,5164260,1
294000,5165260,1
294000,5166260,1
294000,5167260,1
294000,5168260,1
294000,5169260,0
294000,5170260,0
294000,5171260,1
294000,5172260,1
294000,5173260,1
294000,5174260,1
294000,5175260,0
294000,5176260,1
294000,5177260,1
294000,5178260,0
294000,5179260,0
294000,5180260,0
294000,5181260,1
294000,5182260,1
294000,5183260,0
294000,5184260,0
294000,5185260,0
294000,5186260,1
294000,5187260,1
294000,5188260,1
294000,5189260,1
294000,5190260,1
294000,5191260,1
294000,5192260,1
294000,5193260,1
294000,5194260,1
294000,5195260,1
294000,5196260,1
294000,5197260,1
294000,5198260,1
294000,5199260,1
294000,5200260,1
294000,5201260,1
294000,5202260,0
294000,5203260,1
294000,5204260,1
294000,5205260,1
294000,5206260,1
294000,5207260,1
294000,5208260,1
294000,5209260,0
294000,5210260,1
294000,5211260,0
294000,5212260,1
294000,5213260,1
294000,5214260,1
294000,5215260,1
294000,5216260,1
294000,5217260,1
294000,5218260,1
294000,5219260,1
294000,5220260,0
294000,5221260,0
294000,5222260,1
294000,5223260,0
294000,5224260,1
294000,5225260,1
294000,5226260,1
294000,5227260,1
294000,5228260,1
294000,5229260,1
294000,5230260,0
294000,5231260,1
294000,5232260,1
294000,5233260,0
294000,5234260,0
294000,5235260,0
294000,5236260,1
294000,5237260,1
294000,5238260,1
294000,5239260,1
294000,5240260,1
294000,5241260,1
294000,5242260,1
294000,5243260,1
294000,5244260,1
294000,5245260,1
294000,5246260,1
294000,5247260,1
294000,5248260,1
294000,5249260,1
294000,5250260,1
294000,5251260,1
294000,5252260,0
294000,5253260,1
294000,5254260,1
294000,5255260,1
294000,5256260,1
294000,5257260,1
294000,5258260,0
294000,5259260,1
294000,5260260,1
294000,5261260,1
294000,5262260,1
294000,5263260,1
294000,5264260,0
294000,5265260,1
294000,5266260,1
294000,5267260,0
295000,5163260,0
295000,5164260,1
295000,5165260,1
295000,5166260,1
295000,5167260,1
295000,5168260,1
